id,name,zip_id:id
1,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO991001
2,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO991007
3,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO991008
4,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO991009
5,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO991017
6,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO991018
7,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO991019
8,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO991027
9,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO991028
10,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO991029
11,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO991037
12,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO991038
13,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO991039
14,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO991047
15,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO991048
16,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO991049
17,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO991057
18,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO991058
19,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO991059
20,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO992001
21,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO992007
22,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO992008
23,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO992009
24,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO992017
25,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO992018
26,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO992050
27,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO995007
28,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO995008
29,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO995009
30,ANDALUCÍA,l10n_co_base_location.CO050001
31,LA FRANCIA,l10n_co_base_location.CO050001
32,LA FRONTERA,l10n_co_base_location.CO050001
33,LA ISLA,l10n_co_base_location.CO050001
34,PABLO VI,l10n_co_base_location.CO050001
35,PLAYÓN DE LOS COMUNEROS,l10n_co_base_location.CO050001
36,VILLA DEL SOCORRO,l10n_co_base_location.CO050001
37,VILLA NIZA,l10n_co_base_location.CO050001
38,ALDEA PABLO VI,l10n_co_base_location.CO050002
39,CARPINELO,l10n_co_base_location.CO050002
40,EL COMPROMISO,l10n_co_base_location.CO050002
41,LA AVANZADA,l10n_co_base_location.CO050002
42,LA ESPERANZA NO.2,l10n_co_base_location.CO050002
43,POPULAR,l10n_co_base_location.CO050002
44,SANTO DOMINGO SAVIO NO.1,l10n_co_base_location.CO050002
45,SANTO DOMINGO SAVIO NO.2,l10n_co_base_location.CO050002
46,GRANIZAL,l10n_co_base_location.CO050003
47,LA ROSA,l10n_co_base_location.CO050003
48,MOSCÚ NO.1,l10n_co_base_location.CO050003
49,MOSCÚ NO.2,l10n_co_base_location.CO050003
50,SAN PABLO,l10n_co_base_location.CO050003
51,SANTA CRUZ,l10n_co_base_location.CO050003
52,VILLA GUADALUPE,l10n_co_base_location.CO050003
53,ARANJUEZ,l10n_co_base_location.CO050004
54,BERLIN,l10n_co_base_location.CO050004
55,BERMEJAL,l10n_co_base_location.CO050004
56,LOS ALAMOS,l10n_co_base_location.CO050004
57,LA PIÑUELA,l10n_co_base_location.CO050004
58,PALERMO,l10n_co_base_location.CO050004
59,SAN ISIDRO,l10n_co_base_location.CO050004
60,CAMPO VALDÉS NO.2,l10n_co_base_location.CO050005
61,LA SALLE,l10n_co_base_location.CO050005
62,LAS GRANJAS,l10n_co_base_location.CO050005
63,MARÍA CANO,l10n_co_base_location.CO050005
64,CARAMBOLAS,l10n_co_base_location.CO050005
65,ORIENTE,l10n_co_base_location.CO050005
66,SAN JOSÉ LA CIMA NO.1,l10n_co_base_location.CO050005
67,SAN JOSÉ LA CIMA NO.2,l10n_co_base_location.CO050005
68,SANTA INÉS,l10n_co_base_location.CO050005
69,BRASILIA,l10n_co_base_location.CO050006
70,CAMPO VALDÉS NO.1,l10n_co_base_location.CO050006
71,LAS ESMERALDAS,l10n_co_base_location.CO050006
72,MIRANDA,l10n_co_base_location.CO050006
73,MORAVIA,l10n_co_base_location.CO050006
