id,name,zip_id:id
1,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO991001_zip
2,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO991007_zip
3,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO991008_zip
4,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO991009_zip
5,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO991017_zip
6,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO991018_zip
7,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO991019_zip
8,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO991027_zip
9,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO991028_zip
10,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO991029_zip
11,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO991037_zip
12,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO991038_zip
13,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO991039_zip
14,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO991047_zip
15,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO991048_zip
16,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO991049_zip
17,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO991057_zip
18,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO991058_zip
19,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO991059_zip
20,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO992001_zip
21,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO992007_zip
22,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO992008_zip
23,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO992009_zip
24,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO992017_zip
25,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO992018_zip
26,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO992050_zip
27,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO995007_zip
28,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO995008_zip
29,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO995009_zip
30,ANDALUCÍA,l10n_co_base_location.CO050001_zip
31,LA FRANCIA,l10n_co_base_location.CO050001_zip
32,LA FRONTERA,l10n_co_base_location.CO050001_zip
33,LA ISLA,l10n_co_base_location.CO050001_zip
34,PABLO VI,l10n_co_base_location.CO050001_zip
35,PLAYÓN DE LOS COMUNEROS,l10n_co_base_location.CO050001_zip
36,VILLA DEL SOCORRO,l10n_co_base_location.CO050001_zip
37,VILLA NIZA,l10n_co_base_location.CO050001_zip
38,ALDEA PABLO VI,l10n_co_base_location.CO050002_zip
39,CARPINELO,l10n_co_base_location.CO050002_zip
40,EL COMPROMISO,l10n_co_base_location.CO050002_zip
41,LA AVANZADA,l10n_co_base_location.CO050002_zip
42,LA ESPERANZA NO.2,l10n_co_base_location.CO050002_zip
43,POPULAR,l10n_co_base_location.CO050002_zip
44,SANTO DOMINGO SAVIO NO.1,l10n_co_base_location.CO050002_zip
45,SANTO DOMINGO SAVIO NO.2,l10n_co_base_location.CO050002_zip
46,GRANIZAL,l10n_co_base_location.CO050003_zip
47,LA ROSA,l10n_co_base_location.CO050003_zip
48,MOSCÚ NO.1,l10n_co_base_location.CO050003_zip
49,MOSCÚ NO.2,l10n_co_base_location.CO050003_zip
50,SAN PABLO,l10n_co_base_location.CO050003_zip
51,SANTA CRUZ,l10n_co_base_location.CO050003_zip
52,VILLA GUADALUPE,l10n_co_base_location.CO050003_zip
53,ARANJUEZ,l10n_co_base_location.CO050004_zip
54,BERLIN,l10n_co_base_location.CO050004_zip
55,BERMEJAL,l10n_co_base_location.CO050004_zip
56,LOS ALAMOS,l10n_co_base_location.CO050004_zip
57,LA PIÑUELA,l10n_co_base_location.CO050004_zip
58,PALERMO,l10n_co_base_location.CO050004_zip
59,SAN ISIDRO,l10n_co_base_location.CO050004_zip
60,CAMPO VALDÉS NO.2,l10n_co_base_location.CO050005_zip
61,LA SALLE,l10n_co_base_location.CO050005_zip
62,LAS GRANJAS,l10n_co_base_location.CO050005_zip
63,MARÍA CANO,l10n_co_base_location.CO050005_zip
64,CARAMBOLAS,l10n_co_base_location.CO050005_zip
65,ORIENTE,l10n_co_base_location.CO050005_zip
66,SAN JOSÉ LA CIMA NO.1,l10n_co_base_location.CO050005_zip
67,SAN JOSÉ LA CIMA NO.2,l10n_co_base_location.CO050005_zip
68,SANTA INÉS,l10n_co_base_location.CO050005_zip
69,BRASILIA,l10n_co_base_location.CO050006_zip
70,CAMPO VALDÉS NO.1,l10n_co_base_location.CO050006_zip
71,LAS ESMERALDAS,l10n_co_base_location.CO050006_zip
72,MIRANDA,l10n_co_base_location.CO050006_zip
73,MORAVIA,l10n_co_base_location.CO050006_zip
74,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO050007_zip
